,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
13738,GB,2015,Benzalkonium chloride,187,12.0,0.275,0.1138,42.0,0.0505,0.0325
13756,GB,2015,DDAC (mix),186,0.0,0.0,0.0,7.0,0.05,0.0469
13825,GB,2016,BAC 12,197,0.0,0.0,0.0,3.0,0.0833,0.0208
13829,GB,2016,Benzalkonium chloride,197,0.0,0.0,0.0,3.0,0.0833,0.0208
13925,GB,2017,BAC 12,269,0.0,0.0,0.0,2.0,0.08,0.0283
13930,GB,2017,Benzalkonium chloride,269,0.0,0.0,0.0,2.0,0.08,0.0283
14038,GB,2018,BAC 12,315,0.0,0.0,0.0,6.0,0.0883,0.016
14043,GB,2018,Benzalkonium chloride,315,0.0,0.0,0.0,6.0,0.0883,0.016
14120,GB,2018,Permethrin (sum),315,0.0,0.0,0.0,1.0,0.01,0.0
14053,GB,2018,Chlorate,36,0.0,0.0,0.0,16.0,0.0262,0.012
14028,GB,2018,"2,4-D (sum)",1,1.0,0.01,0.0,0.0,0.0,0.0
14151,GB,2019,BAC 12,297,1.0,0.2,0.0,1.0,0.1,0.0
14152,GB,2019,BAC 14,297,0.0,0.0,0.0,1.0,0.08,0.0
15858,HR,2015,Chlordane (sum),56,1.0,0.001,0.0,0.0,0.0,0.0
15859,HR,2015,Chlorobenzilate,56,0.0,0.0,0.0,1.0,0.002,0.0
15864,HR,2015,DDT (sum),56,0.0,0.0,0.0,2.0,0.0042,0.0015
15868,HR,2015,Endosulfan (sum),56,0.0,0.0,0.0,1.0,0.002,0.0
15878,HR,2015,HCH-alpha,56,0.0,0.0,0.0,1.0,0.001,0.0
15881,HR,2015,Hexachlorobenzene,56,0.0,0.0,0.0,7.0,0.001,0.0001
15885,HR,2015,Methoxychlor,56,0.0,0.0,0.0,3.0,0.002,0.0
16225,HU,2013,Benfuracarb,50,1.0,0.0249,0.0,0.0,0.0,0.0
16517,HU,2014,Famoxadone,20,0.0,0.0,0.0,1.0,0.0087,0.0
17913,HU,2020,2-phenylphenol (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
17914,HU,2020,"3-[(6-iodo-4-oxo-3-propyl-3,4-dihydroquinazolin-2-yl)oxy]propanoic acid",13,13.0,0.01,0.0,0.0,0.0,0.0
