,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
6652,DE,2024,BAC 12,168,0.0,0.0,0.0,1.0,0.01,0.0
6660,DE,2024,Benzalkonium chloride,168,0.0,0.0,0.0,1.0,0.01,0.0
6775,DE,2024,Hexachlorobenzene,106,0.0,0.0,0.0,5.0,0.0001,0.0
6677,DE,2024,Chlorate,38,1.0,0.11,0.0,0.0,0.0,0.0
6790,DE,2024,Mercury compounds,34,0.0,0.0,0.0,3.0,0.0019,0.0006
6692,DE,2024,Copper compounds,29,0.0,0.0,0.0,10.0,0.058,0.0096
7441,DK,2020,Copper compounds,7,0.0,0.0,0.0,7.0,0.04,0.0191
7471,DK,2021,Copper compounds,8,0.0,0.0,0.0,7.0,0.0152,0.0099
7485,DK,2021,Mercury compounds,8,0.0,0.0,0.0,4.0,0.0003,0.0001
7502,DK,2022,Copper compounds,10,0.0,0.0,0.0,1.0,0.052,0.0
7540,DK,2023,Copper compounds,9,0.0,0.0,0.0,9.0,0.0443,0.0082
7558,DK,2023,Mercury compounds,9,0.0,0.0,0.0,1.0,0.001,0.0
8135,ES,2013,DDT (sum),44,1.0,1.05,0.0707,0.0,0.0,0.0
9472,ES,2024,Cypermethrin (sum),17,1.0,0.071,0.0,3.0,0.0207,0.0119
9947,FR,2013,Heptachlor (sum),68,0.0,0.0,0.0,2.0,0.0004,0.0001
10503,FR,2018,Deltamethrin,48,0.0,0.0,0.0,1.0,0.002,0.0
10688,FR,2019,Dieldrin (sum),95,0.0,0.0,0.0,1.0,0.0008,0.0
10542,FR,2019,2-phenylphenol (sum),26,1.0,0.19,0.0,0.0,0.0,0.0
11653,FR,2021,Chlorpyrifos-methyl,54,0.0,0.0,0.0,1.0,0.0006,0.0
12222,FR,2022,Dieldrin (sum),87,0.0,0.0,0.0,1.0,0.005,0.0
12796,GB,2016,BAC 12,197,0.0,0.0,0.0,3.0,0.0833,0.0208
12800,GB,2016,Benzalkonium chloride,197,0.0,0.0,0.0,3.0,0.0833,0.0208
12896,GB,2017,BAC 12,269,0.0,0.0,0.0,2.0,0.08,0.0283
12901,GB,2017,Benzalkonium chloride,269,0.0,0.0,0.0,2.0,0.08,0.0283
13009,GB,2018,BAC 12,279,0.0,0.0,0.0,6.0,0.0883,0.016
13014,GB,2018,Benzalkonium chloride,279,0.0,0.0,0.0,6.0,0.0883,0.016
12999,GB,2018,"2,4-D (sum)",1,1.0,0.01,0.0,0.0,0.0,0.0
13121,GB,2019,BAC 12,297,1.0,0.2,0.0,1.0,0.1,0.0
13122,GB,2019,BAC 14,297,0.0,0.0,0.0,1.0,0.08,0.0
14590,HR,2015,Chlordane (sum),30,1.0,0.001,0.0,0.0,0.0,0.0
14591,HR,2015,Chlorobenzilate,30,0.0,0.0,0.0,1.0,0.002,0.0
14596,HR,2015,DDT (sum),30,0.0,0.0,0.0,2.0,0.0042,0.0015
14600,HR,2015,Endosulfan (sum),30,0.0,0.0,0.0,1.0,0.002,0.0
14610,HR,2015,HCH-alpha,30,0.0,0.0,0.0,1.0,0.001,0.0
14613,HR,2015,Hexachlorobenzene,30,0.0,0.0,0.0,7.0,0.001,0.0001
14617,HR,2015,Methoxychlor,30,0.0,0.0,0.0,3.0,0.002,0.0
14891,HU,2013,Benfuracarb,50,1.0,0.0249,0.0,0.0,0.0,0.0
15176,HU,2014,Famoxadone,19,0.0,0.0,0.0,1.0,0.0087,0.0
16531,HU,2020,2-phenylphenol (sum),13,0.0,0.0,0.0,13.0,0.01,0.0
16532,HU,2020,"3-[(6-iodo-4-oxo-3-propyl-3,4-dihydroquinazolin-2-yl)oxy]propanoic acid",13,13.0,0.01,0.0,0.0,0.0,0.0
16533,HU,2020,Abamectin (sum),13,13.0,0.01,0.0,0.0,0.0,0.0
