,paramcode,tag,long_name,obligatory,voluntary,total_samples
301,RF-0223-001-PPP,Formetanate (sum),Formetanate: Sum of formetanate and its salts expressed as formetanate(hydrochloride),0.0,30.0,30.0
360,RF-0292-001-PPP,Metholachlor and metholachlor-S (sum),Metholachlor and metholachlor-S (Metholachlor including other mixtures of constituent isomers including S-metholachlor (sum of isomers)),15.0,15.0,30.0
346,RF-0278-001-PPP,Mesosulfuron (sum),Mesosulfuron-methyl (expresssed as Mesosulfuron),15.0,15.0,30.0
552,RF-0523-001-PPP,Butocarboxim (sum),Butocarboxim (sum),15.0,15.0,30.0
757,RF-0918-001-PPP,"Terbuthylazine, Desethyl-","Terbuthylazine, Desethyl-",0.0,29.0,29.0
236,RF-0150-001-PPP,Dithianon,Dithianon,0.0,28.0,28.0
437,RF-0367-001-PPP,Prosulfuron,Prosulfuron,0.0,28.0,28.0
574,RF-0572-001-PPP,Coumatetralyl,Coumatetralyl,0.0,28.0,28.0
277,RF-0196-001-PPP,Forchlorfenuron,Forchlorfenuron,0.0,28.0,28.0
1,RF-00000012-PAR,Chlorothalonil (sum),"SDS-3701 (4-hydroxy-2,5,6- trichloroisophthalonitrile)",15.0,13.0,28.0
479,RF-0412-004-PPP,Terbufos (sum),Terbufos Sulfoxide,13.0,14.0,27.0
190,RF-0106-001-PPP,Cycloxydim (sum),"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or methyl esters thereof, calculated in total a",0.0,27.0,27.0
807,RF-1059-001-PPP,Fosetyl-Al (sum),Fosetyl,0.0,26.0,26.0
304,RF-0225-001-PPP,Fosetyl-Al (sum),"Fosetyl-Al (sum of fosetyl, phosphonic acid and their salts, expressed as fosetyl)",0.0,26.0,26.0
380,RF-0310-001-PPP,Nicosulfuron,Nicosulfuron,0.0,26.0,26.0
173,RF-0089-001-PPP,Chlorsulfuron,Chlorsulfuron,0.0,26.0,26.0
245,RF-0160-001-PPP,Ethephon,Ethephon,0.0,26.0,26.0
65,RF-00004675-PAR,Fosetyl-Al (sum),Phosphonic acid,0.0,26.0,26.0
280,RF-0200-001-PPP,Flucycloxuron,Flucycloxuron,0.0,26.0,26.0
162,RF-0070-001-PPP,Carfentrazone-ethyl (sum),Carfentrazone-ethyl (determined as Carfentrazone and expressed as Carfentrazone-ethyl),0.0,26.0,26.0
487,RF-0419-001-PPP,Thifensulfuron-methyl,Thifensulfuron-methyl,0.0,26.0,26.0
491,RF-0425-001-PPP,Tolylfluanid (sum),Tolylfluanid (Sum of tolylfluanid and dimethylaminosulfotoluidide expressed as tolylfluanid),15.0,11.0,26.0
369,RF-0301-001-PPP,Metsulfuron-methyl,Metsulfuron-methyl,0.0,26.0,26.0
201,RF-0124-001-PPP,Dicamba,Dicamba,0.0,26.0,26.0
203,RF-0126-001-PPP,Dichlorprop (sum),"Dichlorprop (sum of dichlorprop (including dichlorprop-P) and its conjugates, expressed as dichlorprop)",1.0,24.0,25.0
661,RF-0733-001-PPP,Halofenozide,Halofenozide,15.0,10.0,25.0
19,RF-00002611-PAR,Metolachlor and S-metolachlor (sum),Metolachlor and S-metolachlor (metolachlor including other mixtures of constituent isomers including S-metolachlor (sum of isomers)),18.0,7.0,25.0
531,RF-0481-001-PPP,"Atrazine, Desisopropyl-","Atrazine, Desisopropyl-",0.0,25.0,25.0
601,RF-0616-001-PPP,"N, N-Diethyl-meta-toluamide (DEET)","N, N-Diethyl-meta-toluamide (DEET)",15.0,10.0,25.0
713,RF-0838-001-PPP,Pentachlorobenzene,Pentachlorobenzene,0.0,24.0,24.0
596,RF-0602-001-PPP,"Dichlorobenzamide, 2,6-","Dichlorobenzamide, 2,6-",0.0,24.0,24.0
603,RF-0622-001-PPP,Dimefox,Dimefox,0.0,23.0,23.0
218,RF-0136-001-PPP,Dimethachlor,Dimethachlor,10.0,13.0,23.0
530,RF-0478-001-PPP,Desethyl-Atrazine,Desethyl-Atrazine,0.0,23.0,23.0
744,RF-0891-001-PPP,Sebuthylazine,Sebuthylazine,0.0,23.0,23.0
67,RF-00004682-PAR,Dichlorprop (sum),"Sum of dichlorprop (including dichlorprop-P) and its salts, expressed as dichlorprop",0.0,22.0,22.0
383,RF-0313-001-PPP,Novaluron (sum),Novaluron,0.0,22.0,22.0
334,RF-0260-002-PPP,Kresoxim-methyl (sum),"Kresoxim-methyl (BF-490-9 (2-[2-(4-hydroxy-2-methylphenoxymethyl)phenyl]-2-methoxy-iminoacetic acid), expressed as parent)",6.0,16.0,22.0
794,RF-1005-001-PPP,Myclobutanil (sum),"Alpha-(3-hydroxybutyl) - alpha - (4-chloro-phenyl) - 1H - 1,2,4 - triazole -1-propanenitrile (RH9090) expressed as myclobutanil",6.0,16.0,22.0
498,RF-0431-001-PPP,Triasulfuron,Triasulfuron,0.0,22.0,22.0
228,RF-0143-001-PPP,Dinocap (sum),Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap),0.0,22.0,22.0
265,RF-0178-003-PPP,Fenchlorphos (sum),Fenchlorphos-oxon,17.0,4.0,21.0
803,RF-1047-001-PPP,Flamprop-isopropyl,Flamprop-isopropyl,15.0,6.0,21.0
701,RF-0809-001-PPP,Nicotine,Nicotine,0.0,21.0,21.0
231,RF-0146-001-PPP,Dioxathion (sum),Dioxathion (sum of isomers),15.0,6.0,21.0
762,RF-0923-001-PPP,Tetrasul,Tetrasul,10.0,11.0,21.0
708,RF-0824-001-PPP,Oxamyl-Oxime,Oxamyl-Oxime,15.0,6.0,21.0
510,RF-0444-001-PPP,Triforine,Triforine,0.0,21.0,21.0
693,RF-0792-001-PPP,Metolcarb,Metolcarb,0.0,20.0,20.0
538,RF-0494-001-PPP,Bensulfuron-Methyl,Bensulfuron-Methyl,0.0,20.0,20.0
536,RF-0491-001-PPP,Benodanil,Benodanil,0.0,20.0,20.0
73,RF-00004818-PAR,Prochloraz (sum),"BTS 40348 (N-[2-(2,4,6-Trichlorophenoxy)ethyl]propylamine)",0.0,20.0,20.0
723,RF-0861-001-PPP,Prometon,Prometon,0.0,20.0,20.0
687,RF-0776-001-PPP,Mefenacet,Mefenacet,15.0,4.0,19.0
568,RF-0557-001-PPP,Chloropropylate,Chloropropylate,10.0,9.0,19.0
371,RF-0303-001-PPP,Milbemectin (sum),"Milbemectin (sum of MA4+8,9Z-MA4, expressed as Milbemectin)",0.0,19.0,19.0
29,RF-00003326-PAR,Acetamiprid (sum),"Acetamiprid (sum of acetamiprid and N-desmethyl-acetamiprid (IM-2-1), expressed as acetamiprid)",4.0,15.0,19.0
3,RF-00000020-PAR,Endosulfan (sum),Endosulfan lactone,15.0,4.0,19.0
91,RF-0001-001-PPP,"1,1-dichloro-2,2-bis(4-ethylphenyl)ethane","1,1-dichloro-2,2-bis(4-ethylphenyl)ethane",10.0,9.0,19.0
770,RF-0936-001-PPP,Thiometon,Thiometon,15.0,4.0,19.0
2,RF-00000019-PAR,Endosulfan (sum),Endosulfan ether,15.0,4.0,19.0
564,RF-0545-001-PPP,Chlordimeform,Chlordimeform,18.0,0.0,18.0
511,RF-0445-001-PPP,"Trimethyl-sulfonium cation, resulting from the use of glyphosate","Trimethyl-sulfonium cation, resulting from the use of glyphosate",0.0,18.0,18.0
291,RF-0214-001-PPP,Flurochloridone (sum),Flurochloridone,0.0,18.0,18.0
389,RF-0322-001-PPP,Oxycarboxin,Oxycarboxin,15.0,2.0,17.0
748,RF-0898-001-PPP,Simetryn,Simetryn,0.0,16.0,16.0
808,RF-1061-001-PPP,2-Hydroxyethylphosphonic acid,2-Hydroxyethylphosphonic acid,0.0,16.0,16.0
474,RF-0410-001-PPP,TEPP,TEPP,16.0,0.0,16.0
45,RF-00003362-PAR,Penflufen (sum),Penflufen,0.0,16.0,16.0
526,RF-0471-001-PPP,AMPA,AMPA,0.0,16.0,16.0
5,RF-00000024-PAR,Fluxapyroxad,Fluxapyroxad,0.0,16.0,16.0
100,RF-00012047-PAR,Mandipropamid (sum),Mandipropamid (any ratio of constituent isomers),0.0,16.0,16.0
811,RF-1070-001-PPP,Flonicamid (sum),"Sum of flonicamid and TFNA-AM, expressed as flonicamid",10.0,5.0,15.0
561,RF-0537-001-PPP,Carpropamid,Carpropamid,15.0,0.0,15.0
617,RF-0645-001-PPP,Dodemorph,Dodemorph,15.0,0.0,15.0
10,RF-00000132-VET,Chlorpropham (sum),Chlorpropham CIPC,15.0,0.0,15.0
640,RF-0685-003-PPP,Fensulfothion (sum),Fensulfothion-sulfon,0.0,15.0,15.0
806,RF-1058-001-PPP,Dimethenamid,Dimethenamid,15.0,0.0,15.0
309,RF-0235-001-PPP,Haloxyfop (sum),"Haloxyfop including haloxyfop-R (Haloxyfop-R methyl ester, haloxyfop-R and conjugates of haloxyfop-R expressed as haloxyfop-R)",15.0,0.0,15.0
427,RF-0356-001-PPP,Propaquizafop,Propaquizafop,0.0,14.0,14.0
14,RF-00002596-PAR,Bromadiolone,Bromadiolone,0.0,13.0,13.0
191,RF-0106-002-PPP,Cycloxydim (sum),Cycloxydim,0.0,12.0,12.0
49,RF-00003368-PAR,Spirotetramat (sum),Spirotetramat,0.0,12.0,12.0
520,RF-0460-001-PPP,4-CPA,4-CPA,0.0,12.0,12.0
