,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
10179,IT,2014,DDT (sum),56,0.0,0.0,0.0,1.0,0.012,0.0
10364,IT,2015,Hexachlorobenzene,98,0.0,0.0,0.0,1.0,0.0002,0.0
10238,IT,2015,BAC 12,4,0.0,0.0,0.0,1.0,0.02,0.0
10243,IT,2015,Benzalkonium chloride,4,0.0,0.0,0.0,1.0,0.02,0.0
10509,IT,2016,BAC 12,5,2.0,0.25,0.0141,2.0,0.0335,0.0318
10510,IT,2016,BAC 14,4,2.0,0.165,0.0071,1.0,0.034,0.0
10754,IT,2017,BAC 12,15,0.0,0.0,0.0,6.0,0.0378,0.0277
10755,IT,2017,BAC 14,15,0.0,0.0,0.0,6.0,0.0268,0.0159
10816,IT,2018,BAC 12,9,0.0,0.0,0.0,3.0,0.017,0.0052
10817,IT,2018,BAC 14,9,0.0,0.0,0.0,1.0,0.017,0.0
10913,IT,2019,BAC 12,10,0.0,0.0,0.0,3.0,0.0253,0.0055
10914,IT,2019,BAC 14,10,0.0,0.0,0.0,2.0,0.0115,0.0007
10918,IT,2019,Benzalkonium chloride,10,0.0,0.0,0.0,3.0,0.033,0.0122
10928,IT,2019,DDT (sum),7,0.0,0.0,0.0,1.0,0.003,0.0002
10969,IT,2020,BAC 12,5,0.0,0.0,0.0,1.0,0.013,0.0
10974,IT,2020,Benzalkonium chloride,5,0.0,0.0,0.0,1.0,0.013,0.0
11073,IT,2022,2-phenylphenol (sum),1,1.0,0.02,0.0,0.0,0.0,0.0
11334,IT,2023,Cypermethrin (sum),5,0.0,0.0,0.0,1.0,0.005,0.0
11355,IT,2023,Fenthion (sum),5,0.0,0.0,0.0,1.0,0.002,0.0
11331,IT,2023,Copper compounds,1,0.0,0.0,0.0,1.0,0.21,0.0
11378,IT,2023,Metribuzin,1,1.0,0.003,0.0,1.0,0.003,0.0
11507,LT,2012,DDT (sum),22,0.0,0.0,0.0,3.0,0.0027,0.0012
11522,LT,2012,Hexachlorobenzene,22,1.0,0.006,0.0,2.0,0.003,0.0014
11730,LV,2012,DDT (sum),1,0.0,0.0,0.0,1.0,0.002,0.0
11744,LV,2012,Hexachlorobenzene,1,0.0,0.0,0.0,1.0,0.001,0.0
11781,NL,2011,HCH-beta,3,1.0,0.031,0.0,0.0,0.0,0.0
11859,NL,2013,Benzalkonium chloride,6,0.0,0.0,0.0,1.0,0.08,0.0
11885,NL,2013,HCH-beta,6,1.0,0.0125,0.0,0.0,0.0,0.0
11922,NL,2014,Copper compounds,33,0.0,0.0,0.0,14.0,0.43,0.2105
11927,NL,2014,DDAC (mix),13,1.0,0.7,0.0,0.0,0.0,0.0
12447,NL,2021,Mercury compounds,2,0.0,0.0,0.0,1.0,0.0017,0.0
12806,PL,2015,DDT (sum),46,0.0,0.0,0.0,1.0,0.0082,0.0
12872,PL,2021,DDT (sum),2,0.0,0.0,0.0,1.0,0.0142,0.0011
12881,PL,2021,Mercury compounds,1,0.0,0.0,0.0,1.0,0.0008,0.0
