,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
208,1A7B8,1,RF-0327-001-PPP,Parathion,,LOQ
209,1A7B8,1,RF-0079-001-PPP,Chlorfenvinphos,,LOQ
210,1A7B8,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
211,1A7B8,1,RF-0119-001-PPP,DDT (sum),0.0029,VAL
212,1A7B8,1,RF-0515-001-PPP,Bromocyclen,,LOQ
213,1A7B8,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
214,1A7B8,1,RF-0328-001-PPP,Parathion-methyl (sum),,LOQ
215,1A7B8,1,RF-0373-001-PPP,Pyrazophos,,LOQ
216,1A7B8,1,RF-0383-001-PPP,Quintozene (sum),,LOQ
217,1A7B8,1,RF-0432-001-PPP,Triazophos,,LOQ
218,1A7B8,1,RF-0156-001-PPP,Endrin,,LOQ
219,1A7B8,1,RF-0290-001-PPP,Methidathion,,LOQ
220,1A7B8,1,RF-0161-001-PPP,Ethion,,LOQ
221,1A7B8,1,RF-0239-002-PPP,HCH-beta,,LOQ
222,1A7B8,1,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
223,1A7B8,1,RF-0331-001-PPP,Pendimethalin,,LOQ
224,1A7B8,1,RF-0348-001-PPP,Pirimiphos-methyl (sum),,LOQ
225,1A7B8,1,RF-0240-004-PPP,HCH (sum),,LOQ
226,1A7B8,1,RF-0351-001-PPP,Profenofos,,LOQ
227,1A7B8,1,RF-0406-001-PPP,Tecnazene,,LOQ
228,1A7B8,1,RF-0653-001-PPP,Endrin ketone,,LOQ
229,1A7B8,1,RF-0261-001-PPP,Lambda-Cyhalothrin (sum),,LOQ
230,1A7B8,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
231,1A7B8,1,RF-0187-001-PPP,Fenthion (sum),,LOQ
232,1A7B8,1,RF-0842-001-PPP,Permethrin (sum),,LOQ
233,1A7B8,1,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
234,1A7B8,1,RF-0155-001-PPP,Endosulfan (sum),,LOQ
235,2141A,2,RF-0295-001-PPP,Methoxychlor,,LOQ
236,2141A,2,RF-0797-001-PPP,Mirex,,LOQ
237,2141A,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
238,2141A,2,RF-0119-001-PPP,DDT (sum),0.002,VAL
239,2141A,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
240,2141A,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
241,2141A,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
242,2141A,2,RF-0240-004-PPP,HCH (sum),,LOQ
243,2141A,2,RF-0239-002-PPP,HCH-beta,,LOQ
244,2141A,2,RF-0123-001-PPP,Diazinon,,LOQ
245,2141A,2,RF-0866-001-PPP,Propetamphos,,LOQ
246,2141A,2,RF-0736-001-PPP,HCH (sum),,LOQ
