,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
5126,5B4BDB9C91CCE4D48BA9790813FFF981,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5136,8B7005CDB0F9B286353C79952122C3E7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5147,0FD555829FBF185EEA57EC4915BA7A9D,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00029,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5152,07037C5A8C5BB77BA5A8221542F0AF1B,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5159,7A830744ED006FAF5139AFA70C740552,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5185,FB08980E674BAAF5FB8B2822995E9971,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5200,A3A4CE179C1FACD0369A37C43E711D0A,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5208,190E7C64E619753ABD15280BFBC5CD62,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5226,EE2DC7C8A34B1A6FD7C458E167D0D430,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5227,0C83A16D1461F9F1B0340BC8448DD400,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5248,EAAF89C7A9EB39C3DF98CC4E8E4FA97D,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5251,748B8428B2B98DBC56D026F70E53C406,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5252,5595F8C97C060D649A0010DA8E032887,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5270,827277784F4FD2244A1EDD22138C769E,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00018,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5278,0CEB13FACE9E1CE140F461AB6C2104CE,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5281,827277784F4FD2244A1EDD22138C769E,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5301,FCFBCDEC7A89C298D558922B2236033A,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0007,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5313,CAE8BDF9CF547272209590CA7F5D54F7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5405,ADFD806F8BEEFCEF3012969B79589E63,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5428,86415F0EF08ECEBF180E333741835DFE,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
